item,quantity,unit_price
Primer,1,600
Lotion,4,750
Sunscreen,3,215
Concealer,6,654
CC cream,2,235
Lotion,4,750
Moisturizer,6,400
CC cream,2,235
Sunscreen,3,215
Nail Paint,3,540
Lotion,4,750
Nail Paint,3,540
Primer,1,600
Moisturizer,6,400
Moisturizer,6,400
Moisturizer,6,400
Lotion,4,750
Lipstics,4,342
Lipstics,4,342
Lipstics,4,342
CC cream,2,235
Lipstics,4,342
Sunscreen,3,215
Lipstics,4,342
Lotion,4,750
Lipstics,4,342
Moisturizer,6,400
Concealer,6,654
Sunscreen,3,215
Lotion,4,750
Nail Paint,3,540
Lotion,4,750
Concealer,6,654
Lipstics,4,342
Moisturizer,6,400
CC cream,2,235
Primer,1,600
Primer,1,600
Lotion,4,750
CC cream,2,235
Concealer,6,654
Lotion,4,750
Lipstics,4,342
Sunscreen,3,215
Moisturizer,6,400
CC cream,2,235
Moisturizer,6,400
Concealer,6,654
Concealer,6,654
Primer,1,600
CC cream,2,235
Concealer,6,654
Primer,1,600
Concealer,6,654
Sunscreen,3,215
Lipstics,4,342
Concealer,6,654
Sunscreen,3,215
Sunscreen,3,215
Moisturizer,6,400
CC cream,2,235
Concealer,6,654
Primer,1,600
Lipstics,4,342
CC cream,2,235
Primer,1,600
Lotion,4,750
Primer,1,600
Lipstics,4,342
Primer,1,600
Concealer,6,654
Sunscreen,3,215
Moisturizer,6,400
Sunscreen,3,215
Moisturizer,6,400
Primer,1,600
Lotion,4,750
Concealer,6,654
Moisturizer,6,400
Primer,1,600
CC cream,2,235
CC cream,2,235
Concealer,6,654
Sunscreen,3,215
Sunscreen,3,215
Lipstics,4,342
Sunscreen,3,215
Concealer,6,654
Moisturizer,6,400
Moisturizer,6,400
Lipstics,4,342
Concealer,6,654
Sunscreen,3,215
Nail Paint,3,540
Lotion,4,750
Moisturizer,6,400
Concealer,6,654
CC cream,2,235
Lotion,4,750
Primer,1,600
